unit_id,method_id,dataset_id,track,tier,replicate,prevalence,noise_condition,duplicate_fraction,n_cells,n_positive,n_background,n_missing_scores,is_degenerate,n_unique_scores,ap,auroc,f1_score,f1_top_k,precision_top_k,recall_top_k,balanced_accuracy_top_k,specificity_top_k,ap_chance,ap_above_chance,runtime_seconds,method_fidelity
ov_izar_tirosh_track_c_T2_rep03,CaSee,ov_izar_tirosh,C,T2,3,0.0255,,,2000,51,1949,0,True,1,0.0255,0.5,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.4969768307528245,0.9743458183683941,0.0255,0.0,173.1154465675354,faithful
rcc_multi_track_c_T1_rep05,CaSee,rcc_multi,C,T1,5,0.092,,,2000,184,1816,0,False,2000,0.08382070773311266,0.4637252202643172,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.4852518674583413,0.9052863436123348,0.092,-0.008179292266887336,441.8032970428467,faithful
bcc_yost_track_c_T1_rep02,CaSee,bcc_yost,C,T1,2,0.0765,,,2000,153,1847,0,False,2000,0.07405722376269688,0.49176371505108085,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.4904296315169273,0.9220357336220899,0.0765,-0.0024427762373031153,374.7831676006317,faithful
bcc_yost_track_e_noise20_T1_rep01,CaSee,bcc_yost,E,T1,1,0.24,noise20,,2000,480,1520,0,False,2000,0.3690829821861762,0.5824465460526316,0.3416666666666667,0.3416666666666667,0.3416666666666667,0.3416666666666667,0.5668859649122807,0.7921052631578948,0.24,0.1290829821861762,534.937513589859,faithful
pdac_peng_track_e_noise20_T1_rep05,CaSee,pdac_peng,E,T1,5,0.2535,noise20,,2000,507,1493,0,False,1998,0.4124095886349806,0.6171720494457369,0.3826429980276135,0.3826429980276135,0.3826429980276134,0.3826429980276134,0.586498993990364,0.7903549899531145,0.2535,0.15890958863498061,481.0129075050354,faithful
crc_lee_track_e_noise20_T1_rep01,CaSee,crc_lee,E,T1,1,0.2315,noise20,,2000,463,1537,0,False,2000,0.369324418239505,0.5639439540998072,0.3326133909287257,0.3326133909287257,0.3326133909287257,0.3326133909287257,0.5657862009946166,0.7989590110605075,0.2315,0.137824418239505,422.617525100708,faithful
crc_lee_track_a_T4_rep02,CaSee,crc_lee,A,T4,2,0.0005,,,2000,1,1999,0,False,2000,0.030303030303030304,0.983991995997999,0.0,0.0,0.0,0.0,0.49974987493746875,0.0,0.0005,0.029803030303030303,437.18660974502563,faithful
mm_ledergor_track_d_U3_rep04,CaSee,mm_ledergor,D,U3,4,0.0010150996066489023,,,39405,40,39365,0,False,39405,0.001425606047432533,0.6682338371649943,0.0,0.0,0.0,0.0,0.49949193445954526,0.0,0.0010150996066489023,0.00041050644078363067,54.36120009422302,faithful
ov_izar_tirosh_track_b_T1_rep02,CaSee,ov_izar_tirosh,B,T1,2,0.0584,,,5000,292,4708,0,False,4999,0.4833112728692218,0.9718105876328255,0.4931506849315068,0.4931506849315068,0.4931506849315068,0.4931506849315068,0.7308574155328732,0.9685641461342396,0.0584,0.4249112728692218,90.48455452919006,faithful
pdac_peng_track_e_noise20_T1_rep02,CaSee,pdac_peng,E,T1,2,0.2545,noise20,,2000,509,1491,0,False,2000,0.4181531735254417,0.6124342650533192,0.3732809430255403,0.3732809430255403,0.37328094302554027,0.37328094302554027,0.579665287072797,0.7860496311200537,0.2545,0.16365317352544168,457.8088467121124,faithful
hnscc_puram_track_b_T3_rep03,CaSee,hnscc_puram,B,T3,3,0.002,,,5000,10,4990,0,False,5000,0.03976497796408146,0.845751503006012,0.10000000000000002,0.10000000000000002,0.1,0.1,0.5490981963927856,0.9981963927855712,0.002,0.03776497796408146,94.51164150238037,faithful
rcc_multi_track_e_asym_pos_T3_rep02,CaSee,rcc_multi,E,T3,2,0.0065,asym_pos,,2000,13,1987,0,False,2000,0.0290924228594162,0.8607487127869614,0.0,0.0,0.0,0.0,0.4967287367891293,0.0,0.0065,0.022592422859416202,439.1705267429352,faithful
crc_lee_track_e_noise10_T4_rep02,CaSee,crc_lee,E,T4,2,0.1005,noise10,,2000,201,1799,0,False,2000,0.11356646388909976,0.5265888456549935,0.11442786069651742,0.11442786069651742,0.11442786069651742,0.11442786069651742,0.5077420014988979,0.9010561423012785,0.1005,0.013066463889099753,434.670530796051,faithful
pdac_peng_track_e_noise10_T3_rep02,CaSee,pdac_peng,E,T3,2,0.107,noise10,,2000,214,1786,0,False,2000,0.14358888981051926,0.5151411288212577,0.12149532710280374,0.12149532710280374,0.12149532710280374,0.12149532710280374,0.5081160846040335,0.8947368421052632,0.107,0.03658888981051926,428.22544288635254,faithful
rcc_multi_track_e_asym_pos_T2_rep04,CaSee,rcc_multi,E,T2,4,0.024,asym_pos,,2000,48,1952,0,False,2000,0.14667745259767045,0.8990458504098361,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5730874316939891,0.9795081967213115,0.024,0.12267745259767046,429.91083121299744,faithful
ov_izar_tirosh_track_a_T3_rep05,CaSee,ov_izar_tirosh,A,T3,5,0.0035,,,2000,7,1993,0,True,1,0.0035,0.5,0.0,0.0,0.0,0.0,0.49824385348720523,0.0,0.0035,0.0,174.01217794418335,faithful
rcc_multi_track_c_T2_rep05,CaSee,rcc_multi,C,T2,5,0.0495,,,2000,99,1901,0,False,2000,0.04526861082906741,0.4748749993358094,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.47927459763335617,0.9484481851657023,0.0495,-0.00423138917093259,445.1600468158722,faithful
